City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,soc trang,9.6033,105.98,26.43,88,59,2.16,VN,1722527498
122,lerwick,60.1545,-1.1494,16.0,79,10,4.0,GB,1722527500
123,college,64.8569,-147.8028,10.11,88,75,2.06,US,1722527501
124,avarua,-21.2078,-159.775,21.03,64,100,1.54,CK,1722527502
125,tommot,58.9564,126.2925,9.11,81,69,1.58,RU,1722527503
126,igarka,67.4667,86.5833,16.44,68,83,3.8,RU,1722527504
127,andergrove,-21.0833,149.1833,13.14,79,13,4.17,AU,1722527505
128,coronel suarez,-37.4547,-61.9334,17.25,86,100,5.35,AR,1722527507
129,flying fish cove,-10.4217,105.6791,24.82,78,75,4.63,CX,1722527509
130,fort bragg,35.139,-79.006,34.0,60,0,2.57,US,1722527510
131,turan,16.0678,108.2208,29.99,74,20,1.54,VN,1722527511
132,beidaihehaibin,39.8222,119.5181,25.02,94,1,1.33,CN,1722527513
133,koh kong,11.6175,102.9806,26.82,86,99,1.42,KH,1722527514
134,jiagedaqi,50.4167,124.1167,12.36,49,100,2.18,CN,1722527515
135,saldanha,-33.0117,17.9442,15.03,84,0,5.75,ZA,1722527516
136,greymouth,-42.4667,171.2,0.05,89,8,3.8,NZ,1722527517
137,galle,6.0367,80.217,28.85,85,77,0.45,LK,1722527519
138,quellon,-43.1167,-73.6167,8.81,92,100,7.49,CL,1722527520
139,chardara,41.2547,67.9692,34.82,23,56,2.79,KZ,1722527521
140,abbeville,50.1,1.8333,28.47,71,79,4.41,FR,1722527522
141,taksimo,56.3444,114.8794,17.31,83,100,0.56,RU,1722527523
142,remire-montjoly,4.9167,-52.2667,27.02,83,75,2.06,GF,1722527525
143,chestertown,39.209,-76.0666,35.21,57,0,2.13,US,1722527526
144,hithadhoo,-0.6,73.0833,28.63,78,29,5.09,MV,1722527527
145,hawaiian paradise park,19.5933,-154.9731,20.73,84,100,3.09,US,1722527528
146,sechura,-5.5569,-80.8222,22.69,61,5,3.87,PE,1722527529
147,ha giang,22.8333,104.9833,24.05,100,100,0.22,VN,1722527531
148,ushuaia,-54.8,-68.3,3.81,81,100,1.03,AR,1722527532
149,uturoa,-16.7333,-151.4333,23.49,60,7,6.86,PF,1722527533
150,conduaga,8.862,117.4893,26.4,85,99,1.23,PH,1722527534
151,okha,53.5739,142.9478,13.09,98,100,4.86,RU,1722527536
152,st. john's,47.5649,-52.7093,30.15,62,21,1.79,CA,1722527538
153,padangsidempuan,1.3667,99.2667,22.38,93,49,0.83,ID,1722527539
154,veraval,20.9,70.3667,27.74,86,99,9.49,IN,1722527540
155,klyuchi,52.2667,79.1667,25.81,41,66,2.98,RU,1722527541
156,teknaf,20.8624,92.3058,26.27,90,100,6.32,BD,1722527544
157,inhambane,-23.865,35.3833,22.99,68,40,2.24,MZ,1722527545
158,san patricio,28.017,-97.5169,32.17,55,6,4.8,US,1722527546
159,killarney vale,-33.365,151.4594,10.26,88,64,1.34,AU,1722527547
160,kiffa,16.6166,-11.4045,38.71,26,87,7.0,MR,1722527548
161,la ronge,55.1001,-105.2842,18.14,68,75,8.75,CA,1722527550
162,codrington,-38.2667,141.9667,5.58,80,64,4.22,AU,1722527551
163,bikenibeu village,1.3673,173.1241,26.98,89,20,1.03,KI,1722527552
164,touros,-5.1989,-35.4608,27.92,53,13,8.99,BR,1722527554
165,thompson,55.7435,-97.8558,22.09,68,40,4.63,CA,1722527555
166,mizdah,31.4451,12.9801,35.39,14,0,6.46,LY,1722527557
167,huatabampo,26.8333,-109.6333,32.0,55,94,3.97,MX,1722527461
168,port augusta,-32.5,137.7667,7.92,49,33,3.42,AU,1722527559
169,carutapera,-1.195,-46.02,31.2,50,23,4.57,BR,1722527560
170,midvagur,62.0511,-7.1939,12.46,94,100,5.66,FO,1722527561
171,mudon,16.2578,97.7164,24.63,95,100,2.31,MM,1722527563
172,kodinsk,58.6881,99.1844,10.99,94,85,1.24,RU,1722527564
173,port elizabeth,-33.918,25.5701,16.16,75,0,3.09,ZA,1722527565
174,cole harbour,44.6724,-63.4751,21.66,98,100,3.6,CA,1722527566
175,ambon,-3.6954,128.1814,26.6,95,40,2.06,ID,1722527567
176,murzuq,25.9155,13.9184,36.63,15,5,5.39,LY,1722527568
177,badger,64.8,-147.5333,10.07,87,75,2.06,US,1722527570
178,kodiak,57.79,-152.4072,6.73,93,0,2.57,US,1722527571
179,tomatlan,19.9333,-105.25,31.33,57,84,0.35,MX,1722527572
180,klaksvik,62.2266,-6.589,12.51,97,100,10.38,FO,1722527573
181,gwanda,-20.9333,29.0,21.46,27,0,4.91,ZW,1722527574
182,nassau,40.7507,-73.5829,33.36,56,0,1.54,US,1722527576
183,isetskoye,56.4858,65.3226,19.12,93,71,2.93,RU,1722527578
184,mala vyska,48.6431,31.6366,31.47,19,33,6.09,UA,1722527579
185,kulu,39.0951,33.0799,28.55,24,0,3.85,TR,1722527580
186,piton saint-leu,-21.2196,55.3151,20.06,68,0,1.03,RE,1722527582
187,geraldton,-28.7667,114.6,9.23,87,40,2.57,AU,1722527583
188,qaqortoq,60.7167,-46.0333,7.84,70,7,4.31,GL,1722527584
189,nalut,30.3333,10.85,37.74,14,0,8.68,LY,1722527585
190,varna,43.2167,27.9167,28.82,41,0,5.66,BG,1722527586
191,al bawiti,28.3492,28.8659,36.96,17,44,5.82,EG,1722527588
192,saint-philippe,-21.3585,55.7679,21.77,66,31,3.55,RE,1722527589
193,nova sintra,14.8667,-24.7167,25.34,73,26,6.03,CV,1722527590
194,howrah,22.5892,88.3103,28.0,100,100,6.17,IN,1722527591
195,chonchi,-42.6128,-73.8092,8.56,96,100,3.95,CL,1722527592
196,manaure,11.7751,-72.4445,32.01,53,75,3.38,CO,1722527595
197,sur,22.5667,59.5289,33.66,53,100,5.23,OM,1722527596
198,salalah,17.0151,54.0924,25.05,100,100,1.54,OM,1722527597
199,turkmenbasy,40.0222,52.9552,29.43,34,0,10.8,TM,1722527598
200,moapa valley,36.5805,-114.4703,34.6,25,100,3.99,US,1722527599
201,antofagasta,-23.65,-70.4,18.6,65,34,2.89,CL,1722527601
202,margate,51.3813,1.3862,22.95,75,59,0.45,GB,1722527602
203,alofi,-19.0595,-169.9187,17.94,94,75,2.06,NU,1722527603
204,wainwright,52.839,-110.8572,20.22,47,41,3.64,CA,1722527604
205,nar'yan-mar,67.6713,53.087,18.83,84,26,4.89,RU,1722527605
206,saint croix,17.7397,-64.7388,26.25,94,75,1.54,VI,1722527606
207,estevan,49.1334,-102.9842,30.19,41,0,4.12,CA,1722527356
208,prince rupert,54.3161,-130.3201,13.05,94,100,1.03,CA,1722527609
209,beau vallon,-20.4189,57.6953,21.13,73,20,1.54,MU,1722527610
210,labrador city,52.9463,-66.9114,22.88,48,75,3.09,CA,1722527611
211,guiyang,26.5833,106.7167,22.27,94,20,1.0,CN,1722527613
212,fale old settlement,-9.3852,-171.2468,27.29,71,100,6.45,TK,1722527615
213,sao jose da coroa grande,-8.8978,-35.1478,25.94,68,80,6.63,BR,1722527616
214,faya-largeau,17.9257,19.1043,33.01,41,100,4.17,TD,1722527617
215,hashtrud,37.4779,47.0508,26.41,27,2,5.42,IR,1722527618
216,thanh hoa,19.8,105.7667,25.76,82,100,2.79,VN,1722527620
217,lae,-6.7221,146.9847,22.33,87,53,0.74,PG,1722527621
218,tekkali,18.6167,84.2333,27.46,73,100,3.21,IN,1722527622
219,mount isa,-20.7333,139.5,7.87,71,0,0.0,AU,1722527623
220,lauro de freitas,-12.8944,-38.3272,27.01,65,40,4.12,BR,1722527624
221,fort st. john,56.2499,-120.8529,15.94,63,20,4.63,CA,1722527626
222,tabou,4.423,-7.3528,23.83,88,100,5.74,CI,1722527627
223,gagliano del capo,39.8442,18.3695,29.34,48,0,4.12,IT,1722527628
224,medina del campo,41.3124,-4.9141,35.44,17,0,4.16,ES,1722527629
225,bathsheba,13.2167,-59.5167,31.34,74,75,4.12,BB,1722527630
226,vadso,70.0744,29.7487,13.49,94,100,8.75,NO,1722527632
227,tahe,52.3333,124.7333,9.66,63,2,1.46,CN,1722527633
228,quiberon,47.4841,-3.1196,27.84,83,44,7.84,FR,1722527634
229,de queen,34.0379,-94.3413,30.03,78,40,4.12,US,1722527635
230,laguna,38.421,-121.4238,28.94,59,0,2.57,US,1722527636
231,afaahiti,-17.75,-149.2833,16.93,59,55,5.65,PF,1722527638
232,east london,-33.0153,27.9116,17.52,39,0,3.09,ZA,1722527639
233,bamboo flat,11.7,92.7167,28.05,89,75,2.06,IN,1722527640
234,kijang,35.2442,129.2139,27.85,90,0,3.24,KR,1722527641
235,brotas,-22.2842,-48.1267,26.75,23,0,3.01,BR,1722527642
236,robertsport,6.7533,-11.3686,25.19,85,100,7.62,LR,1722527643
237,sabang,5.8933,95.3214,29.03,75,100,5.28,ID,1722527645
238,karonga,-9.9333,33.9333,22.17,61,0,1.91,MW,1722527646
239,al jawf,29.5,38.75,37.04,15,65,2.47,SA,1722527648
240,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,1.0,RU,1722527649
241,camara de lobos,32.6333,-16.9667,29.84,73,20,4.63,PT,1722527651
242,as samawah,31.332,45.2944,42.23,11,0,9.26,IQ,1722527652
243,constitucion,-35.3333,-72.4167,12.53,86,100,17.0,CL,1722527653
244,guarapari,-20.6667,-40.4975,23.27,58,12,4.16,BR,1722527654
245,auki,-8.7676,160.7034,24.16,91,41,1.59,SB,1722527656
246,morehead city,34.7229,-76.726,32.79,79,0,6.17,US,1722527657
247,uruzgan,32.8333,66.0,31.8,11,4,3.4,AF,1722527658
248,puerto aysen,-45.4,-72.7,7.28,100,100,0.74,CL,1722527659
249,chengde,40.9725,117.9361,22.7,88,6,0.48,CN,1722527660
250,tukrah,32.5341,20.5791,28.27,58,0,5.36,LY,1722527661
251,port saint john's,-31.6229,29.5448,17.55,65,0,6.23,ZA,1722527663
252,lihue,21.9789,-159.3672,20.77,88,40,1.54,US,1722527664
253,lompoc,34.6391,-120.4579,13.4,98,100,0.0,US,1722527526
254,plaza huincul,-38.926,-69.2086,12.3,10,100,1.79,AR,1722527666
255,juneau,58.3019,-134.4197,12.0,98,75,3.09,US,1722527667
256,tsiombe,-25.3,45.4833,17.77,65,9,2.11,MG,1722527669
257,malanje,-9.5402,16.341,31.94,18,43,1.12,AO,1722527670
258,reggane,26.7158,0.1714,43.44,6,0,8.97,DZ,1722527671
259,zapata,26.9073,-99.2714,31.06,62,0,4.12,US,1722527672
260,broken hill,-31.95,141.4333,8.16,46,17,4.35,AU,1722527673
261,iskateley,67.6803,53.1512,18.86,84,25,4.95,RU,1722527674
262,saipan,15.1355,145.701,29.39,84,40,3.6,MP,1722527676
263,shakawe,-18.3667,21.85,26.63,12,4,1.29,BW,1722527677
264,namsos,64.4662,11.4957,15.95,63,75,3.09,NO,1722527678
265,leiyang,26.4024,112.8591,27.23,82,44,2.69,CN,1722527679
266,alice springs,-23.7,133.8833,4.75,48,6,2.06,AU,1722527680
267,francistown,-21.17,27.5079,23.43,24,0,6.88,BW,1722527682
268,la manga del mar menor,37.6413,-0.7165,33.36,74,0,3.09,ES,1722527683
269,toliara,-23.35,43.6667,21.04,57,0,8.36,MG,1722527684
270,zhezqazghan,47.7833,67.7667,33.32,13,0,2.0,KZ,1722527685
271,rio gallegos,-51.6226,-69.2181,5.03,93,75,2.57,AR,1722527686
272,port lincoln,-34.7333,135.8667,12.75,45,100,8.99,AU,1722527688
273,keflavik,64.0049,-22.5624,12.24,87,75,1.54,IS,1722527689
274,arraial do cabo,-22.9661,-42.0278,24.92,53,20,7.72,BR,1722527690
275,salsipuedes,19.4055,-70.3799,24.84,76,94,2.22,DO,1722527691
276,angaur state,6.906,134.13,28.85,75,87,4.94,PW,1722527692
277,antsiranana,-12.2787,49.2917,23.51,72,1,7.62,MG,1722527693
